date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Mkt_RF,SMB,HML,RMW,CMA,RF,UMD,other
1973m01,-4.75,-6.7,-3.7,5.03,1.96,-2.12,-4.09,-1.19,-4.28,-3.29,-2.81,2.68,0.42,0.9,0.44,3.73,1.143103978
1973m02,-4.36,-5.85,-2.29,-7.35,-3,-4.62,-6.45,-0.71,-1.97,-4.85,-3.91,1.6,-0.26,0.02,0.41,2.16,0.31416204
1973m03,-1.06,-2.82,-0.22,3.05,-1.2,0.54,-5.64,0.78,-2.15,-1.3,-2.33,2.62,-1.07,0.62,0.46,3.59,0.719901409
1973m04,-6.19,-5.19,-4.4,-0.98,-6.65,0.88,-8.5,-5.49,-0.6,-5.68,-2.9,5.41,-1.58,2.6,0.52,6.36,0.636914469
1973m05,-2.12,-4.19,-1.14,-3.53,-2.6,-0.82,-2.21,1.07,0.36,-2.94,-6.17,0.41,1.95,-1.57,0.51,7.14,0.727165072
1973m06,-3.43,-2.53,-0.35,1.63,-0.05,-0.32,-5.75,0,-2.49,-1.57,-2.48,1.2,-0.21,0.11,0.51,4.3,0.160385043
1973m07,7.44,7.27,6.64,0.3,4.95,-0.32,11.16,6.87,-2.39,5.05,7.26,-5.31,-0.05,-3.28,0.64,-11.57,0.876449101
1973m08,-3.33,-3.95,-1.47,-3.79,-3.69,-3.91,-4.16,-6.89,-2.1,-3.82,-1.84,1.24,-1.31,1.3,0.7,3.46,0.647245517
1973m09,5.9,7.81,4.56,9.21,-2.84,7.65,7.2,0.78,7.9,4.75,3.6,2.01,-2.33,1.77,0.68,-7,0.090654721
1973m10,-2.25,-4.34,0.44,5.17,3.91,-5.54,-3.66,1.83,-3.39,-0.83,-0.38,1.94,-1.9,2.71,0.65,6.87,0.537050487
1973m11,-14.31,-16.1,-14.25,-6.19,-11.43,-1.9,-18.92,-7.75,-11.6,-12.75,-7.28,3.87,-2.63,1.73,0.56,8.66,0.602118286
1973m12,-1.55,-3.76,1.28,8.67,-4.32,4.55,-0.22,-4.47,3.42,0.61,-4.69,3.85,-2.78,2.48,0.64,10.38,0.11617289
1974m01,2.43,6.09,0.41,-7.46,1.24,2,6.71,-2.56,4.55,-0.17,10.41,6.02,-3.07,4.42,0.63,-8.85,0.686671791
1974m02,0.07,-1.08,0.01,-1.55,-0.6,4.75,0.8,-1.23,0.29,-0.47,0.06,2.81,-1.87,2.63,0.58,0.32,0.973043275
1974m03,-1.89,-0.09,-0.76,-3.24,-2.71,-4.59,-3.12,1.22,-3.64,-2.81,2.65,-0.32,2.8,0.44,0.56,-1.05,0.044040679
1974m04,-3.69,-4.09,-2.04,-6.31,-3.63,-5.31,-1.97,-1.48,-12.19,-5.29,-0.7,0.85,2.87,2.09,0.75,2.11,0.880066175
1974m05,-2.88,0.42,-2.53,-7.47,-4.2,-1.52,1.21,-0.11,-4.9,-4.68,-3.07,-2.02,4.95,-0.42,0.75,-0.39,0.230106039
1974m06,-0.56,-2.63,-0.41,-0.3,-2.94,0.3,-2.72,-1.61,-6.18,-2.83,0,0.77,0.57,2.94,0.6,2.31,0.90528534
1974m07,-10.15,-11.86,-7.16,-0.52,-8.22,-7.63,-12.81,-14.15,0.77,-8.05,1.92,5.16,-3.25,4.6,0.7,3.11,0.357988043
1974m08,-10.16,-6.62,-10.13,-8.56,-4.9,-0.01,-13.05,-8.04,-8.62,-9.35,0.26,2.64,-0.28,2.59,0.6,3,0.155676078
1974m09,-12.18,-12.92,-12.85,-7.95,-16.9,-3.8,-12.28,-15.56,-1.31,-11.77,1.48,5.58,-4.44,5.91,0.81,4.24,0.941316859
